ID,DATE_ADDED,DATE_MODIFIED,DESCRIPTION,IMAGE_URL,NAME,PURCHASE_COUNT,RATING,REVIEW_COUNT,UNIT_PRICE
1,2017-07-26 19:23:56.585,2017-07-26 19:23:56.585,This is the description for this product.,,Product 1501097036585,0,,0,44.88
2,2017-07-26 19:23:56.585,2017-07-26 19:23:56.585,This is the description for this product.,,Product 1501097036585,0,,0,88.49
3,2017-07-26 19:23:56.585,2017-07-26 19:23:56.585,This is the description for this product.,,Product 1501097036585,0,,0,10.08
4,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,43.62
5,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,88.64
6,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,83.67
7,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,60.79
8,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,5
9,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,70.26
10,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,39.4
11,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,60.76
12,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,31.08
13,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,3.35
14,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,10.76
15,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,25.12
16,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,47.76
17,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,37.99
18,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,10.61
19,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,47.78
20,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,81.03
21,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,32.46
22,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,84.77
23,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,75.97
24,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,59.75
25,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,69.33
26,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,10.06
27,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,2.88
28,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,90.18
29,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,37.17
30,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,11
31,2017-07-26 19:23:56.586,2017-07-26 19:23:56.586,This is the description for this product.,,Product 1501097036586,0,,0,71.56
